cogs_pct_growth,revenue_growth,gross_profit_growth,gross_profit_pct_growth,ebitda_growth,ebitda_pct_growth,ebit_growth,ebit_pct_growth,pre_tax_income_growth,pre_tax_income_pct_growth,net_income_growth,net_income_pct_growth,dividends_per_share,shares_outstanding_basic,total_assets,total_liabilities,shareholders_equity,retained_earnings,tangible_shareholders_equity,total_assets_growth,total_liabilities_growth,shareholders_equity_growth,retained_earnings_growth,tangible_shareholders_equity_growth,cash_from_operations,cash_from_investing,cash_from_financing,free_cashflow,free_cashflow_per_share_diluted,cash_from_operations_growth,cash_from_investing_growth,cash_from_financing_growth,free_cashflow_growth,free_cashflow_per_share_diluted_growth,roe,roe_growth,roic,roic_growth,roce,roce_growth,debt_to_equity,debt_to_equity_growth,leverage,leverage_growth,current_ratio,current_ratio_growth,acid_test,acid_test_growth,days_in_inventory,days_in_inventory_growth,inventory_turns,inventory_turns_growth,days_sales_outstanding,days_sales_outstanding_growth,days_payable_outstanding,days_payable_outstanding_growth,ppe_turnover,ppe_turnover_growth,total_asset_turnover,total_asset_turnover_growth,score
-0.4,12.5,14.02,1.32,12.5,0.0,14.8,1.79,18.97,5.74,20.4,6.06,300000.0,4430000000.0,94808000000.0,52116000000.0,42692000000.0,37576000000.0,33303000000.0,13.51,13.26,13.81,9.1,15.05,12923000000.0,-19595000000.0,-2370000000.0,3678000000.0,0.83,23.28,36.48,-20.42,67.33,69.39,0.19,5.56,0.21,0.0,0.21,0.0,1.22,-0.81,0.21,-4.55,0.94,-7.84,0.19,0.0,49.95,-3.72,7.31,3.84,2.47,-30.42,34.45,-3.85,4.51,0.22,2.44,-0.81,0.36
-0.21,11.7,12.49,0.87,13.3,1.39,13.0,1.75,14.76,2.81,13.23,2.86,360000.0,4363000000.0,105405000000.0,57939000000.0,47466000000.0,40206000000.0,37584000000.0,11.18,11.17,11.18,7.0,12.85,15946000000.0,-16599000000.0,-5563000000.0,5638000000.0,1.29,23.39,-15.29,134.73,53.29,55.42,0.2,5.26,0.22,4.76,0.22,4.76,1.22,0.0,0.19,-9.52,0.91,-3.19,0.21,10.53,48.87,-2.16,7.47,2.19,1.77,-28.34,35.67,3.54,4.38,-2.88,2.45,0.41,0.18
-0.73,9.9,12.59,2.16,13.8,4.11,15.1,5.17,14.99,4.55,18.2,8.33,520000.0,4259000000.0,120154000000.0,66440000000.0,53714000000.0,43854000000.0,42911000000.0,13.99,14.67,13.16,9.07,14.17,15179000000.0,-24643000000.0,-2609000000.0,2376000000.0,0.56,-4.81,48.46,-53.1,-57.86,-56.59,0.2,0.0,0.22,0.0,0.22,0.0,1.24,1.64,0.19,0.0,0.9,-1.1,0.21,0.0,50.1,2.52,7.29,-2.41,2.2,24.29,37.01,3.76,4.17,-4.79,2.37,-3.27,0.37
-0.17,9.8,10.34,0.84,8.7,-1.32,8.2,-1.64,7.44,-2.09,9.8,0.0,600000.0,4183000000.0,138187000000.0,79050000000.0,59137000000.0,49105000000.0,47040000000.0,15.01,18.98,10.1,11.97,9.62,18343000000.0,-28342000000.0,-2422000000.0,3813000000.0,0.91,20.84,15.01,-7.17,60.48,62.5,0.2,0.0,0.21,-4.55,0.21,-4.55,1.34,8.06,0.22,15.79,0.9,0.0,0.24,14.29,49.01,-2.18,7.45,2.19,3.01,36.82,38.55,4.16,4.01,-3.84,2.26,-4.64,0.23
-0.47,11.6,13.35,1.26,11.1,0.0,9.5,-1.67,8.17,-3.2,8.15,-5.13,670000.0,4164000000.0,151587000000.0,82883000000.0,68704000000.0,55818000000.0,54945000000.0,9.7,4.85,16.18,13.67,16.8,20280000000.0,-28970000000.0,-5122000000.0,4614000000.0,1.11,10.56,2.22,111.48,21.01,21.98,0.19,-5.0,0.21,0.0,0.21,0.0,1.21,-9.7,0.2,-9.09,0.9,0.0,0.25,4.17,46.58,-4.96,7.84,5.23,2.98,-1.0,39.38,2.15,3.94,-1.75,2.3,1.77,0.42
-0.55,8.2,10.07,1.65,8.9,0.0,7.1,-1.69,6.27,-1.65,99.4,86.49,0.88,4066000000.0,163514000000.0,91880000000.0,71634000000.0,57319000000.0,55755000000.0,7.87,10.86,4.26,2.69,1.47,20642000000.0,-15670000000.0,-7422000000.0,5705000000.0,1.4,1.79,-45.91,44.9,23.65,26.13,0.36,89.47,0.21,0.0,0.21,0.0,1.28,5.79,0.2,0.0,0.82,-8.89,0.22,-12.0,45.16,-3.05,8.08,3.06,3.53,18.46,38.98,-1.02,3.89,-1.27,2.31,0.43,0.21
-0.23,7.2,8.0,0.81,4.4,-2.67,3.7,-3.45,3.52,-3.55,-48.53,-52.17,0.95,3939000000.0,163429000000.0,89939000000.0,73490000000.0,63660000000.0,58230000000.0,-0.05,-2.11,2.59,11.06,4.44,23147000000.0,-10742000000.0,-9918000000.0,11648000000.0,2.95,12.14,-31.45,33.63,104.17,110.71,0.18,-50.0,0.21,0.0,0.21,0.0,1.22,-4.69,0.21,5.0,0.88,7.32,0.26,18.18,41.44,-8.24,8.81,9.03,3.53,0.0,34.64,-11.13,4.35,11.83,2.47,6.93,0.19
-0.89,0.9,3.65,2.82,5.6,4.11,5.4,5.36,6.0,5.04,119.21,118.18,1.09,3866000000.0,170407000000.0,91944000000.0,78463000000.0,66357000000.0,62337000000.0,4.27,2.23,6.77,4.24,7.05,26249000000.0,-11620000000.0,-14191000000.0,26249000000.0,6.77,13.4,8.17,43.08,125.35,129.49,0.37,105.56,0.21,0.0,0.21,0.0,1.17,-4.1,0.21,0.0,0.86,-2.27,0.28,7.69,39.26,-5.26,9.3,5.56,3.71,5.1,36.55,5.51,4.1,-5.75,2.39,-3.24,0.19
0.19,3.4,2.81,-0.78,6.5,3.95,6.4,3.39,6.42,2.95,-44.13,-45.83,1.21,3656000000.0,180782000000.0,109127000000.0,71655000000.0,63967000000.0,54892000000.0,6.09,18.69,-8.68,-3.6,-11.94,23643000000.0,-12193000000.0,-12028000000.0,10944000000.0,2.98,-9.93,4.93,-15.24,-58.31,-55.98,0.23,-37.84,0.22,4.76,0.21,0.0,1.52,29.91,0.28,33.33,0.89,3.49,0.27,-3.57,42.23,7.56,8.64,-7.1,4.4,18.6,39.03,6.79,4.01,-2.2,2.33,-2.51,0.18
0.48,5.8,4.32,-1.19,4.3,-2.53,3.7,-3.28,3.37,-2.33,95.91,84.62,1.46,3460000000.0,193406000000.0,117560000000.0,75846000000.0,68691000000.0,55195000000.0,6.98,7.73,5.85,7.39,0.55,24255000000.0,-16609000000.0,-8458000000.0,10745000000.0,3.09,2.59,36.22,-29.68,-1.82,3.69,0.42,82.61,0.21,-4.55,0.2,-4.76,1.55,1.97,0.29,3.57,0.88,-1.12,0.23,-14.81,44.36,5.04,8.23,-4.75,4.85,10.23,39.89,2.2,4.07,1.5,2.31,-0.86,0.17
